"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"Bamberg","Bamberg","Bamberg","10.90067","49.89873","1668","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1697","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1698","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1698","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1699","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1700","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1700","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1700","","",""
"Nürnberg","Nürnberg","Nürnberg","11.07752","49.45421","1700","","",""
"Passau","Passau","Passau","13.43122","48.5665","1694","","",""
"Passau","Passau","Passau","13.43122","48.5665","1695","","",""
"Stuttgart","Stuttgart","Stuttgart","9.17702","48.78232","1683","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1626","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1665","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1665","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1665","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1665","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1666","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1666","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1666","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1666","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1667","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1667","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1667","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1667","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1667","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1667","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1668","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1669","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1670","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1671","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1672","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1673","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1674","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1674","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1674","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1674","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1674","","",""
"Sulzbach","Sulzbach","Sulzbach","11.74598","49.50126","1674","","",""
