sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
liddel24,,,,2,,"Aristotelis Politicorum et oeconomicorum libri qui exstant",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1587,,,Philosophie,,Book,grc;lat,VD16,"A 3580","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.2",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491185,,,,1,,,
liddel25,,,,0,,"Aristotelis Physicae auscultationis lib. 8. De De caelo 4. De gener. & corruptione 2. Meterologicorum 4. De Mundo I. De anima 3",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1584,,,Philosophie,,Book,grc,VD16,"A 3553","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.3",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},861138,,,,1,,,
liddel26,,,,1,,"Aristotelis et Theophrasti metaphysica",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1585,,,Philosophie,,Book,grc;lat,VD16,"A 3486","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.3",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491240,,,,1,,,
liddel27,,,,0,,"Aristotelis, Alexandri, et Cassii Problemata, cum Theophrasteorum quorundam collectaneis",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1585,,,Philosophie,,Book,grc;lat,VD16,"A 3623","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.4",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491242,,,,1,,,
liddel28,,,,1,,"Aristotelis Varia opuscula",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1587,,,Philosophie,,Book,grc,VD16,"A 3616","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.4",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491241,,,,1,,,
liddel29,,,,0,,"De partibus animalium",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1585,,,Philosophie,,Book,grc;lat,VD16,"A 3538","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.5",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491284,,,,1,,,
liddel30,,,,1,,"Aristotelis De animalium historia libri X. Additae Theophrasto collectanea quaedam de animalibus",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1587,,,Philosophie,,Book,grc;lat,VD16,"A 3459","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.5",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491246,,,,1,,,
liddel31,,,,0,,"Aristotelis opera quae exstant",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1584-1587,,,Philosophie,,Book,grc;lat,GBV,0,"Aberdeen, Sir Duncan Rice Library","pi 88851 S 1-5",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},860794,,,,1,,,
liddel32,,,,0,,"Articella nuperrime impressa cum quam plurimis tractatibus pristinae impressioni superadditis",,,,,,,,,,Lyon,,Myt,1519,,,"Antike Medizin",,Book,lat,GBV,145690415,"Aberdeen, Sir Duncan Rice Library","pi 61589 Art 2",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},858791,,,,1,,,
liddel33,,,,1,,"Horatii Augenii epistolarum & consultationum medicinalium libri XXIII in duos tomos distributi",,"Augenio, Orazio#122479807",,,,,,,,"Frankfurt am Main",,Wechel,1597,,,Consilia,,Book,lat,VD16,"A 4073","Aberdeen, Sir Duncan Rice Library","pi f615811 Aug",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401341,,,,1,,,
